transcript_id	gene_id	chr	start	end	strand	biotype	gene_biotype	has_cds	label	length
transcript:ENST00000619729		KI270726.1	26241	26534	+	protein_coding	protein_coding	True	1	588
transcript:ENST00000612315		KI270713.1	31698	32528	-	protein_coding	protein_coding	True	1	1362
transcript:ENST00000601199		KI270713.1	35407	35916	+	protein_coding	protein_coding	True	1	1020
transcript:ENST00000327669		2	38814	46505	-	protein_coding	protein_coding	True	1	4846
transcript:ENST00000460464		2	41220	42952	-	protein_coding_CDS_not_defined	protein_coding	False	1	552
transcript:ENST00000461026		2	41221	46870	-	protein_coding_CDS_not_defined	protein_coding	False	1	471
transcript:ENST00000618003		KI270726.1	41444	41876	+	protein_coding	protein_coding	True	1	702
transcript:ENST00000612465		GL000195.1	42939	49164	-	protein_coding	protein_coding	True	1	2558
transcript:ENST00000293860		16	46407	53608	-	protein_coding	protein_coding	True	1	1699
transcript:ENST00000568584		10	46888	49296	-	protein_coding	protein_coding	True	1	2897
transcript:ENST00000564130		10	46892	74163	-	protein_coding	protein_coding	True	1	3671
transcript:ENST00000568866		10	46953	49277	-	protein_coding	protein_coding	True	1	2591
transcript:ENST00000561967		10	47057	49293	-	protein_coding	protein_coding	True	1	1773
transcript:ENST00000308911		18	47221	49615	-	protein_coding	protein_coding	True	1	2897
transcript:ENST00000706408		18	47221	73507	-	protein_coding_CDS_not_defined	protein_coding	False	1	2466
transcript:ENST00000562809		10	47494	49269	-	protein_coding	protein_coding	True	1	1048
transcript:ENST00000567466		10	47578	49521	-	nonsense_mediated_decay	protein_coding	True	1	1331
transcript:ENST00000594555		18	47928	48882	-	protein_coding_CDS_not_defined	protein_coding	False	1	818
transcript:ENST00000572530		18	49815	73517	-	protein_coding_CDS_not_defined	protein_coding	False	1	387
transcript:ENST00000575325		18	49900	73545	-	protein_coding_CDS_not_defined	protein_coding	False	1	560
transcript:ENST00000612565		GL000218.1	51867	54893	-	protein_coding	protein_coding	True	1	3759
transcript:ENST00000608255		4	53286	87523	+	protein_coding	protein_coding	True	1	3397
transcript:ENST00000609518		4	53295	87521	+	protein_coding	protein_coding	True	1	3966
transcript:ENST00000509152		4	53304	68500	+	protein_coding	protein_coding	True	1	1330
transcript:ENST00000610261		4	53321	88208	+	protein_coding	protein_coding	True	1	4819
transcript:ENST00000613230		GL000194.1	53590	115018	-	protein_coding	protein_coding	True	1	2554
transcript:ENST00000400754		GL000194.1	53594	115055	-	protein_coding	protein_coding	True	1	1989
transcript:ENST00000293861		16	53828	57669	+	protein_coding	protein_coding	True	1	1459
transcript:ENST00000710415		16	53828	57669	+	protein_coding	protein_coding	True	1	1570
transcript:ENST00000397876		16	53887	57372	+	nonsense_mediated_decay	protein_coding	True	1	1110
transcript:ENST00000417493		16	53899	56613	+	protein_coding	protein_coding	True	1	698
transcript:ENST00000493672		16	53899	55871	+	protein_coding_CDS_not_defined	protein_coding	False	1	329
transcript:ENST00000612919		GL000219.1	54224	83311	-	protein_coding	protein_coding	True	1	744
transcript:ENST00000618686		GL000009.2	56140	58376	-	protein_coding	protein_coding	True	1	2465
transcript:ENST00000262316		16	58059	72631	-	protein_coding	protein_coding	True	1	5560
transcript:ENST00000428730		16	58062	65039	-	nonsense_mediated_decay	protein_coding	True	1	3318
transcript:ENST00000448893		16	58137	59762	-	protein_coding	protein_coding	True	1	1599
transcript:ENST00000417043		16	62973	65037	-	nonsense_mediated_decay	protein_coding	True	1	1083
transcript:ENST00000450643		16	63157	76355	-	protein_coding	protein_coding	True	1	1103
transcript:ENST00000419764		16	63743	65039	-	protein_coding	protein_coding	True	1	846
transcript:ENST00000641515		1	65419	71585	+	protein_coding	protein_coding	True	1	3599
transcript:ENST00000538872		12	66767	178455	+	protein_coding	protein_coding	True	1	10636
transcript:ENST00000617983		KI270734.1	72411	74814	+	protein_coding	protein_coding	True	1	3691
transcript:ENST00000436333		16	77007	85684	+	protein_coding	protein_coding	True	1	1637
transcript:ENST00000397817		16	77019	85851	+	protein_coding	protein_coding	True	1	1885
transcript:ENST00000382841		12	77376	171330	+	protein_coding	protein_coding	True	1	4981
transcript:ENST00000356432		16	78225	85846	+	protein_coding	protein_coding	True	1	1918
transcript:ENST00000475280		16	78244	79844	+	protein_coding_CDS_not_defined	protein_coding	False	1	510
transcript:ENST00000219431		16	78257	85842	+	protein_coding	protein_coding	True	1	2090
transcript:ENST00000622194		16	85386	138349	-	nonsense_mediated_decay	protein_coding	True	1	3215
transcript:ENST00000611875		16	85386	138673	-	protein_coding	protein_coding	True	1	4838
transcript:ENST00000399953		16	85801	138512	-	protein_coding	protein_coding	True	1	4419
transcript:ENST00000621703		16	85801	138670	-	nonsense_mediated_decay	protein_coding	True	1	3022
transcript:ENST00000608838		20	87250	97094	+	protein_coding_CDS_not_defined	protein_coding	False	1	1200
transcript:ENST00000382410		20	87672	97094	+	protein_coding	protein_coding	True	1	1657
transcript:ENST00000637938		5	92168	189966	+	protein_coding	protein_coding	True	1	17475
transcript:ENST00000473674		16	93259	119405	-	protein_coding_CDS_not_defined	protein_coding	False	1	855
transcript:ENST00000483663		16	98145	138345	-	nonsense_mediated_decay	protein_coding	True	1	1121
transcript:ENST00000457916		16	98145	138361	-	nonsense_mediated_decay	protein_coding	True	1	1113
transcript:ENST00000422814		16	98212	138361	-	nonsense_mediated_decay	protein_coding	True	1	722
transcript:ENST00000468260		16	98230	138666	-	protein_coding	protein_coding	True	1	1527
transcript:ENST00000585993		19	107104	113156	+	protein_coding	protein_coding	True	1	3587
transcript:ENST00000618231		19	107104	113156	+	protein_coding	protein_coding	True	1	3567
transcript:ENST00000641591		19	107104	117102	+	protein_coding_CDS_not_defined	protein_coding	False	1	790
transcript:ENST00000616049		GL000213.1	108007	139655	-	protein_coding	protein_coding	True	1	3897
transcript:ENST00000456528		16	110525	138677	-	nonsense_mediated_decay	protein_coding	True	1	1055
transcript:ENST00000318050		19	110643	111696	+	protein_coding	protein_coding	True	1	1972
transcript:ENST00000419636		16	112660	138335	-	protein_coding	protein_coding	True	1	1164
transcript:ENST00000382500		9	116231	118417	-	protein_coding	protein_coding	True	1	3507
transcript:ENST00000356521		9	120837	179056	-	protein_coding	protein_coding	True	1	3093
transcript:ENST00000377400		9	121041	179147	-	protein_coding	protein_coding	True	1	2980
transcript:ENST00000475990		9	121052	146140	-	protein_coding	protein_coding	True	1	2671
transcript:ENST00000619157		9	121058	164009	-	nonsense_mediated_decay	protein_coding	True	1	1312
transcript:ENST00000314367		9	121060	179047	-	protein_coding	protein_coding	True	1	2851
transcript:ENST00000612045		9	121089	179012	-	nonsense_mediated_decay	protein_coding	True	1	2296
transcript:ENST00000465014		9	121224	179042	-	nonsense_mediated_decay	protein_coding	True	1	2068
transcript:ENST00000613508		9	121407	179008	-	protein_coding	protein_coding	True	1	2187
transcript:ENST00000382447		9	121409	179021	-	protein_coding	protein_coding	True	1	2372
transcript:ENST00000487575		9	121410	166599	-	protein_coding_CDS_not_defined	protein_coding	False	1	1877
transcript:ENST00000495302		9	121418	167605	-	protein_coding_CDS_not_defined	protein_coding	False	1	2553
transcript:ENST00000462513		9	121503	146154	-	protein_coding_CDS_not_defined	protein_coding	False	1	487
transcript:ENST00000616944		9	122691	179052	-	nonsense_mediated_decay	protein_coding	True	1	2191
transcript:ENST00000613355		9	122843	179016	-	nonsense_mediated_decay	protein_coding	True	1	1590
transcript:ENST00000616157		GL000213.1	123983	139659	-	protein_coding	protein_coding	True	1	3135
transcript:ENST00000510175		4	124501	164162	+	protein_coding	protein_coding	True	1	5084
transcript:ENST00000642529		4	124501	202303	+	nonsense_mediated_decay	protein_coding	True	1	1454
transcript:ENST00000609714		4	124538	162701	+	protein_coding	protein_coding	True	1	4113
transcript:ENST00000704295		10	130088	254602	+	protein_coding	protein_coding	True	1	5693
transcript:ENST00000613204		KI270734.1	131494	137392	+	protein_coding	protein_coding	True	1	1876
transcript:ENST00000439456		10	134465	237651	+	protein_coding	protein_coding	True	1	1183
transcript:ENST00000397962		10	134465	252470	+	protein_coding	protein_coding	True	1	3959
transcript:ENST00000509513		10	134703	249261	+	protein_coding	protein_coding	True	1	3769
transcript:ENST00000381591		10	135069	254637	+	protein_coding	protein_coding	True	1	6038
transcript:ENST00000704340		10	135436	153278	+	protein_coding_CDS_not_defined	protein_coding	False	1	3047
transcript:ENST00000704315		10	135451	254608	+	protein_coding	protein_coding	True	1	5746
transcript:ENST00000381604		10	135455	254637	+	protein_coding	protein_coding	True	1	5909
transcript:ENST00000381584		10	135464	254608	+	nonsense_mediated_decay	protein_coding	True	1	4310
transcript:ENST00000602682		10	135472	254431	+	protein_coding	protein_coding	True	1	5176
transcript:ENST00000704339		10	135472	254608	+	nonsense_mediated_decay	protein_coding	True	1	4743
transcript:ENST00000403354		10	135484	252470	+	protein_coding	protein_coding	True	1	3233
transcript:ENST00000704335		10	135489	254624	+	protein_coding	protein_coding	True	1	8695
transcript:ENST00000704306		10	135506	254437	+	nonsense_mediated_decay	protein_coding	True	1	4360
transcript:ENST00000627286		10	135508	254613	+	protein_coding	protein_coding	True	1	5826
transcript:ENST00000704343		10	135509	254609	+	protein_coding	protein_coding	True	1	5572
transcript:ENST00000402736		10	135509	254634	+	protein_coding	protein_coding	True	1	5666
transcript:ENST00000704307		10	135519	254339	+	protein_coding	protein_coding	True	1	4935
transcript:ENST00000397955		10	135519	254517	+	protein_coding	protein_coding	True	1	5815
transcript:ENST00000704301		10	135813	254598	+	protein_coding	protein_coding	True	1	6370
transcript:ENST00000614604		KI270727.1	136160	167567	-	protein_coding	protein_coding	True	1	3878
transcript:ENST00000704303		10	136199	254619	+	protein_coding	protein_coding	True	1	5681
transcript:ENST00000595228		17	137569	139067	+	protein_coding	protein_coding	True	1	723
transcript:ENST00000615165		KI270734.1	138082	161750	-	protein_coding	protein_coding	True	1	3469
transcript:ENST00000621424		KI270734.1	138082	161852	-	protein_coding	protein_coding	True	1	4208
transcript:ENST00000283426		5	140258	189972	+	protein_coding	protein_coding	True	1	15331
transcript:ENST00000502646		5	140566	157110	+	protein_coding	protein_coding	True	1	2626
transcript:ENST00000382398		20	142590	145751	+	protein_coding	protein_coding	True	1	770
transcript:ENST00000542572		20	142634	145749	+	protein_coding_CDS_not_defined	protein_coding	False	1	298
transcript:ENST00000652335		16	142728	153964	+	protein_coding	protein_coding	True	1	715
transcript:ENST00000697390		17	142789	181650	-	protein_coding	protein_coding	True	1	7355
transcript:ENST00000613549		17	142789	181650	-	protein_coding	protein_coding	True	1	7301
transcript:ENST00000498044		9	146114	172172	-	protein_coding_CDS_not_defined	protein_coding	False	1	638
transcript:ENST00000618361		9	147950	164039	-	nonsense_mediated_decay	protein_coding	True	1	700
transcript:ENST00000618061		9	150132	164039	-	nonsense_mediated_decay	protein_coding	True	1	2297
transcript:ENST00000489272		9	151745	161647	-	nonsense_mediated_decay	protein_coding	True	1	607
transcript:ENST00000616803		9	152034	173325	-	nonsense_mediated_decay	protein_coding	True	1	652
transcript:ENST00000620810		KI270727.1	152230	167571	-	protein_coding	protein_coding	True	1	3134
transcript:ENST00000252951		16	152644	154503	+	protein_coding	protein_coding	True	1	1227
transcript:ENST00000377447		9	152914	179025	-	protein_coding	protein_coding	True	1	3266
transcript:ENST00000472539		16	153892	166761	+	protein_coding_CDS_not_defined	protein_coding	False	1	592
transcript:ENST00000382388		20	157454	159163	+	protein_coding	protein_coding	True	1	830
transcript:ENST00000582707		18	158383	211391	+	protein_coding	protein_coding	True	1	3183
transcript:ENST00000400266		18	158536	211350	+	protein_coding	protein_coding	True	1	3133
transcript:ENST00000580410		18	158557	163431	+	protein_coding	protein_coding	True	1	536
transcript:ENST00000261601		18	158557	214629	+	protein_coding	protein_coding	True	1	6457
transcript:ENST00000383589		18	158591	211997	+	protein_coding	protein_coding	True	1	3515
transcript:ENST00000581983		18	158858	163454	+	protein_coding	protein_coding	True	1	588
transcript:ENST00000431099		9	160088	179018	-	protein_coding_CDS_not_defined	protein_coding	False	1	728
transcript:ENST00000583119		18	163393	198110	+	nonsense_mediated_decay	protein_coding	True	1	678
transcript:ENST00000609727		17	163540	181170	-	protein_coding_CDS_not_defined	protein_coding	False	1	418
transcript:ENST00000496585		16	164482	166761	+	protein_coding_CDS_not_defined	protein_coding	False	1	592
transcript:ENST00000356815		16	165978	166764	+	protein_coding	protein_coding	True	1	928
transcript:ENST00000320901		8	166086	167024	-	protein_coding	protein_coding	True	1	1878
transcript:ENST00000410108		11	167784	207383	-	protein_coding	protein_coding	True	1	1096
transcript:ENST00000537151		12	169055	175359	+	protein_coding_CDS_not_defined	protein_coding	False	1	539
transcript:ENST00000382389		9	171953	179023	-	protein_coding	protein_coding	True	1	2041
transcript:ENST00000382393		9	171953	179045	-	protein_coding	protein_coding	True	1	2073
transcript:ENST00000251595		16	172876	173710	+	protein_coding	protein_coding	True	1	1005
transcript:ENST00000397806		16	172890	173710	+	protein_coding	protein_coding	True	1	846
transcript:ENST00000484216		16	172944	173463	+	protein_coding	protein_coding	True	1	806
transcript:ENST00000544511		12	176482	178454	+	protein_coding_CDS_not_defined	protein_coding	False	1	526
transcript:ENST00000320868		16	176680	177522	+	protein_coding	protein_coding	True	1	1006
transcript:ENST00000397797		16	176704	177522	+	protein_coding	protein_coding	True	1	837
transcript:ENST00000558098		10	180013	249261	+	protein_coding	protein_coding	True	1	3566
transcript:ENST00000704338		10	180019	254598	+	protein_coding	protein_coding	True	1	4780
transcript:ENST00000199708		16	180459	181179	+	protein_coding	protein_coding	True	1	957
transcript:ENST00000334391		20	187853	189711	-	protein_coding	protein_coding	True	1	685
transcript:ENST00000426094		16	188969	229439	-	nonsense_mediated_decay	protein_coding	True	1	2866
transcript:ENST00000337351		16	188969	229463	-	protein_coding	protein_coding	True	1	3075
transcript:ENST00000397783		16	188971	229463	-	protein_coding	protein_coding	True	1	2482
transcript:ENST00000629543		16	188975	229450	-	protein_coding	protein_coding	True	1	1688
transcript:ENST00000429378		16	188990	206087	-	protein_coding	protein_coding	True	1	1234
transcript:ENST00000293872		16	188990	229449	-	protein_coding	protein_coding	True	1	2550
transcript:ENST00000442701		16	189115	190549	-	protein_coding	protein_coding	True	1	604
transcript:ENST00000397780		16	189896	227686	-	protein_coding	protein_coding	True	1	2154
transcript:ENST00000419516		16	189896	229434	-	nonsense_mediated_decay	protein_coding	True	1	1379
transcript:ENST00000397296		12	190077	210605	-	protein_coding	protein_coding	True	1	5139
transcript:ENST00000359674		12	190077	213697	-	protein_coding	protein_coding	True	1	5010
transcript:ENST00000684302		12	190081	214157	-	protein_coding	protein_coding	True	1	5055
transcript:ENST00000418978		16	190122	229374	-	nonsense_mediated_decay	protein_coding	True	1	1157
transcript:ENST00000424061		12	190136	213338	-	protein_coding	protein_coding	True	1	5177
transcript:ENST00000430864		16	190541	229422	-	protein_coding	protein_coding	True	1	1243
transcript:ENST00000536824		12	191068	214120	-	protein_coding	protein_coding	True	1	3946
transcript:ENST00000328278		5	191495	196334	+	protein_coding	protein_coding	True	1	4115
transcript:ENST00000313766		7	192571	260772	+	protein_coding	protein_coding	True	1	4931
transcript:ENST00000342878		11	193078	194575	+	protein_coding	protein_coding	True	1	723
transcript:ENST00000477004		7	195242	208976	+	protein_coding_CDS_not_defined	protein_coding	False	1	344
transcript:ENST00000471328		7	195625	197575	+	protein_coding_CDS_not_defined	protein_coding	False	1	554
transcript:ENST00000535498		12	196234	199771	-	protein_coding_CDS_not_defined	protein_coding	False	1	574
transcript:ENST00000325113		11	196761	200258	+	protein_coding	protein_coding	True	1	2049
transcript:ENST00000256509		3	196763	409417	+	protein_coding	protein_coding	True	1	11531
transcript:ENST00000397491		3	196771	406852	+	protein_coding	protein_coding	True	1	8862
transcript:ENST00000481167		3	196771	246856	+	protein_coding_CDS_not_defined	protein_coding	False	1	662
transcript:ENST00000427688		3	196783	326064	+	protein_coding	protein_coding	True	1	769
transcript:ENST00000296824		5	196868	218153	-	protein_coding	protein_coding	True	1	10066
transcript:ENST00000525282		11	196953	200071	+	protein_coding	protein_coding	True	1	1388
transcript:ENST00000421198		3	197290	328259	+	protein_coding	protein_coding	True	1	833
transcript:ENST00000489224		3	197643	248601	+	protein_coding_CDS_not_defined	protein_coding	False	1	2564
transcript:ENST00000453040		3	197644	399148	+	nonsense_mediated_decay	protein_coding	True	1	4242
transcript:ENST00000538272		12	197911	203507	-	protein_coding_CDS_not_defined	protein_coding	False	1	741
transcript:ENST00000435603		3	198007	341946	+	protein_coding	protein_coding	True	1	1266
transcript:ENST00000486881		3	198014	213679	+	protein_coding_CDS_not_defined	protein_coding	False	1	555
transcript:ENST00000536116		12	202740	213545	-	protein_coding_CDS_not_defined	protein_coding	False	1	549
transcript:ENST00000537793		12	202792	211216	-	protein_coding	protein_coding	True	1	1015
transcript:ENST00000535347		12	202869	214090	-	protein_coding	protein_coding	True	1	797
transcript:ENST00000325147		11	202924	207382	-	protein_coding	protein_coding	True	1	3225
transcript:ENST00000382762		11	202924	207399	-	protein_coding	protein_coding	True	1	3128
transcript:ENST00000529614		11	205074	207374	-	protein_coding	protein_coding	True	1	839
transcript:ENST00000332865		11	205103	207356	-	protein_coding	protein_coding	True	1	710
transcript:ENST00000486280		11	205169	207221	-	protein_coding	protein_coding	True	1	932
transcript:ENST00000441693		5	205873	217218	-	protein_coding	protein_coding	True	1	783
transcript:ENST00000443357		16	206004	227656	-	protein_coding	protein_coding	True	1	1085
transcript:ENST00000526104		11	207708	215113	+	protein_coding	protein_coding	True	1	5102
transcript:ENST00000325207		11	208530	215113	+	protein_coding	protein_coding	True	1	4316
transcript:ENST00000494366		16	208633	229142	-	protein_coding_CDS_not_defined	protein_coding	False	1	668
transcript:ENST00000528357		11	208800	209791	+	protein_coding	protein_coding	True	1	945
transcript:ENST00000526982		11	208800	210662	+	nonsense_mediated_decay	protein_coding	True	1	1124
transcript:ENST00000530889		11	208841	209811	+	protein_coding	protein_coding	True	1	1112
transcript:ENST00000626818		11	208855	209249	+	protein_coding	protein_coding	True	1	318
transcript:ENST00000527696		11	209069	215113	+	protein_coding	protein_coding	True	1	4143
transcript:ENST00000527468		11	209080	209738	+	protein_coding	protein_coding	True	1	705
transcript:ENST00000527728		11	209630	212724	+	protein_coding	protein_coding	True	1	1718
transcript:ENST00000538424		12	212072	213717	-	protein_coding_CDS_not_defined	protein_coding	False	1	467
transcript:ENST00000331302		17	212389	352807	-	protein_coding	protein_coding	True	1	3667
transcript:ENST00000618002		17	212389	352842	-	protein_coding	protein_coding	True	1	3526
transcript:ENST00000323434		17	212502	353097	-	protein_coding	protein_coding	True	1	3670
transcript:ENST00000524854		11	212728	214557	+	protein_coding	protein_coding	True	1	1091
transcript:ENST00000529275		11	212870	214495	+	protein_coding	protein_coding	True	1	880
transcript:ENST00000531541		11	213449	214556	+	protein_coding_CDS_not_defined	protein_coding	False	1	376
transcript:ENST00000536489		17	213645	352842	-	protein_coding	protein_coding	True	1	2096
transcript:ENST00000572075		17	213804	234585	-	protein_coding_CDS_not_defined	protein_coding	False	1	569
transcript:ENST00000570893		17	213824	247687	-	protein_coding_CDS_not_defined	protein_coding	False	1	594
transcript:ENST00000261600		18	214520	268047	-	protein_coding	protein_coding	True	1	4082
transcript:ENST00000580038		18	214521	268022	-	nonsense_mediated_decay	protein_coding	True	1	2789
transcript:ENST00000631280		18	214522	268019	-	protein_coding	protein_coding	True	1	2377
transcript:ENST00000576001		17	214702	319480	-	protein_coding_CDS_not_defined	protein_coding	False	1	647
transcript:ENST00000469197		9	214854	286636	+	nonsense_mediated_decay	protein_coding	True	1	942
transcript:ENST00000524396		9	214865	340620	+	nonsense_mediated_decay	protein_coding	True	1	2359
transcript:ENST00000432829		9	214865	465255	+	protein_coding	protein_coding	True	1	13748
transcript:ENST00000382743		11	215030	236342	-	protein_coding	protein_coding	True	1	4082
transcript:ENST00000479404		9	215167	218333	+	protein_coding_CDS_not_defined	protein_coding	False	1	808
transcript:ENST00000382329		9	215171	456897	+	protein_coding	protein_coding	True	1	12349
transcript:ENST00000529937		11	216145	236337	-	nonsense_mediated_decay	protein_coding	True	1	3032
transcript:ENST00000532837		11	216179	236343	-	nonsense_mediated_decay	protein_coding	True	1	1729
transcript:ENST00000525319		11	216206	236354	-	protein_coding	protein_coding	True	1	2432
transcript:ENST00000524564		11	216391	236354	-	protein_coding	protein_coding	True	1	2457
transcript:ENST00000579891		18	216486	246433	-	protein_coding	protein_coding	True	1	1630
transcript:ENST00000532956		11	216525	236352	-	protein_coding	protein_coding	True	1	2273
transcript:ENST00000529382		11	216611	236834	-	protein_coding	protein_coding	True	1	1999
transcript:ENST00000449294		3	217535	328223	+	protein_coding	protein_coding	True	1	848
transcript:ENST00000460974		2	217730	218866	-	protein_coding_CDS_not_defined	protein_coding	False	1	500
transcript:ENST00000403712		2	218136	264032	-	protein_coding	protein_coding	True	1	2667
transcript:ENST00000356150		2	218144	264032	-	protein_coding	protein_coding	True	1	2773
transcript:ENST00000626873		2	218149	264158	-	protein_coding	protein_coding	True	1	2714
transcript:ENST00000463865		2	218149	264392	-	protein_coding_CDS_not_defined	protein_coding	False	1	1999
transcript:ENST00000403657		2	218151	261323	-	protein_coding	protein_coding	True	1	4224
transcript:ENST00000405430		2	218153	264179	-	protein_coding	protein_coding	True	1	3093
transcript:ENST00000473104		2	218153	262786	-	protein_coding_CDS_not_defined	protein_coding	False	1	2463
transcript:ENST00000651543		5	218298	314955	+	nonsense_mediated_decay	protein_coding	True	1	4736
transcript:ENST00000504309		5	218303	256682	+	protein_coding	protein_coding	True	1	3819
transcript:ENST00000510361		5	218318	256679	+	protein_coding	protein_coding	True	1	3999
transcript:ENST00000264932		5	218320	257082	+	protein_coding	protein_coding	True	1	4688
transcript:ENST00000509632		5	218327	225562	+	nonsense_mediated_decay	protein_coding	True	1	853
transcript:ENST00000403658		2	218666	264810	-	protein_coding	protein_coding	True	1	1963
transcript:ENST00000468321		2	218773	264743	-	protein_coding_CDS_not_defined	protein_coding	False	1	2739
transcript:ENST00000479739		2	218780	260708	-	nonsense_mediated_decay	protein_coding	True	1	2704
transcript:ENST00000451005		2	218797	253041	-	protein_coding	protein_coding	True	1	1550
transcript:ENST00000570954		17	219697	306681	-	protein_coding_CDS_not_defined	protein_coding	False	1	568
transcript:ENST00000445055		12	220621	262873	-	protein_coding	protein_coding	True	1	3483
transcript:ENST00000343164		12	220622	262836	-	protein_coding	protein_coding	True	1	3997
transcript:ENST00000428363		16	220649	228722	-	protein_coding	protein_coding	True	1	594
transcript:ENST00000472012		2	222361	231159	-	protein_coding_CDS_not_defined	protein_coding	False	1	863
transcript:ENST00000539668		12	222580	224431	-	protein_coding_CDS_not_defined	protein_coding	False	1	425
transcript:ENST00000542379		12	223114	237241	-	protein_coding_CDS_not_defined	protein_coding	False	1	340
transcript:ENST00000531753		11	224090	233928	-	protein_coding_CDS_not_defined	protein_coding	False	1	593
transcript:ENST00000526854		11	224167	236330	-	nonsense_mediated_decay	protein_coding	True	1	1073
transcript:ENST00000529055		11	224222	236339	-	nonsense_mediated_decay	protein_coding	True	1	920
transcript:ENST00000528702		11	225673	236931	-	protein_coding_CDS_not_defined	protein_coding	False	1	1251
transcript:ENST00000246105		20	227258	229886	+	protein_coding	protein_coding	True	1	1250
transcript:ENST00000514233		5	227626	233629	+	protein_coding_CDS_not_defined	protein_coding	False	1	558
transcript:ENST00000431160		2	229894	253113	-	protein_coding	protein_coding	True	1	1414
transcript:ENST00000481932		2	230379	234231	-	protein_coding	protein_coding	True	1	1180
transcript:ENST00000530067		11	230603	236345	-	nonsense_mediated_decay	protein_coding	True	1	822
transcript:ENST00000488044		2	231137	264866	-	protein_coding_CDS_not_defined	protein_coding	False	1	672
transcript:ENST00000521145		8	232137	245287	+	protein_coding	protein_coding	True	1	1083
transcript:ENST00000320552		8	232137	247340	+	protein_coding	protein_coding	True	1	4211
transcript:ENST00000308811		8	232200	247342	+	protein_coding	protein_coding	True	1	4298
transcript:ENST00000640035		8	232217	264703	+	protein_coding	protein_coding	True	1	1673
transcript:ENST00000523162		8	232238	245550	+	nonsense_mediated_decay	protein_coding	True	1	1240
transcript:ENST00000522866		8	232384	245248	+	protein_coding	protein_coding	True	1	1115
transcript:ENST00000518414		8	232422	243801	+	protein_coding	protein_coding	True	1	783
transcript:ENST00000521270		8	232442	243005	+	protein_coding	protein_coding	True	1	712
transcript:ENST00000518320		8	232456	245159	+	protein_coding	protein_coding	True	1	729
transcript:ENST00000398612		8	232456	247339	+	protein_coding	protein_coding	True	1	4318
transcript:ENST00000521238		8	232586	242900	+	protein_coding_CDS_not_defined	protein_coding	False	1	562
transcript:ENST00000528469		11	232983	236859	-	protein_coding	protein_coding	True	1	1043
transcript:ENST00000488979		2	233119	264568	-	protein_coding_CDS_not_defined	protein_coding	False	1	541
transcript:ENST00000475027		2	233123	264810	-	protein_coding_CDS_not_defined	protein_coding	False	1	599
transcript:ENST00000454318		2	233169	264824	-	protein_coding	protein_coding	True	1	758
transcript:ENST00000525776		11	233192	233683	-	protein_coding	protein_coding	True	1	436
transcript:ENST00000525237		11	233209	236326	-	protein_coding	protein_coding	True	1	484
transcript:ENST00000653392		16	234521	269836	+	nonsense_mediated_decay	protein_coding	True	1	3949
transcript:ENST00000666018		16	234521	269955	+	nonsense_mediated_decay	protein_coding	True	1	4310
transcript:ENST00000301679		16	234521	270080	+	protein_coding	protein_coding	True	1	4949
transcript:ENST00000654053		16	234802	269898	+	nonsense_mediated_decay	protein_coding	True	1	3855
transcript:ENST00000659283		16	234802	272183	+	nonsense_mediated_decay	protein_coding	True	1	3895
transcript:ENST00000419173		16	234818	259521	+	protein_coding	protein_coding	True	1	890
transcript:ENST00000399932		16	234821	266096	+	protein_coding	protein_coding	True	1	4568
